account_id,report_date,age,employment_status,marital_status,dependents,region,internal_score,dpd,credit_utilization,macro_gdp_growth,macro_unemployment,macro_interest_rate,stage,default_flag
6928643,12/1/2019,,Employed,Single,1,East,660.0,51,1.5,1.25,3.59,3.26,2,0
6332889,8/1/2019,26.0,Employed,Single,4,South,496.0,17,0.87,3.32,4.83,3.69,2,0
8790574,9/1/2022,61.0,Self-Employed,,3,North,575.0,101,0.39,1.51,5.36,4.01,3,1
9854198,12/1/2018,65.0,Retired,Divorced,2,East,375.0,135,0.49,0.83,5.82,3.5,3,1
5953799,6/1/2018,,Self-Employed,Single,4,West,643.0,0,0.04,1.44,6.19,3.2,1,0
5657851,12/1/2020,33.0,Unemployed,Married,4,West,365.0,145,0.64,1.33,5.87,2.25,3,1
3109818,9/1/2019,65.0,Employed,Single,0,North,542.0,23,0.18,1.29,4.17,3.1,2,0
7041495,7/1/2020,26.0,Unemployed,Single,0,South,509.0,96,0.77,2.79,6.11,3.35,3,1
2105534,10/1/2018,28.0,Retired,Single,1,East,560.0,128,0.06,2.91,4.87,3.02,3,1
3859244,12/1/2020,56.0,Employed,Single,0,North,450.0,3,0.01,1.18,3.66,3.56,2,0
7374825,3/1/2018,57.0,Employed,Married,0,South,,23,0.82,3.19,6.23,2.7,2,0
9411883,5/1/2022,51.0,Employed,Married,3,North,403.0,153,0.98,2.5,4.48,4.06,3,1
1837393,9/1/2019,54.0,Self-Employed,Single,3,West,738.0,105,0.2,1.14,5.76,3.16,3,1
2520982,7/1/2020,22.0,Employed,Widowed,0,North,786.0,90,0.82,2.23,4.15,3.13,3,1
6855319,9/1/2019,,Employed,Single,0,North,559.0,139,0.05,2.78,3.02,3.15,3,1
1264237,9/1/2022,,,Single,1,East,604.0,4,0.46,1.64,4.63,3.43,2,0
3227039,1/1/2019,45.0,Employed,Divorced,0,North,696.0,2,1.17,0.48,5.62,3.23,2,0
9181932,11/1/2021,40.0,Employed,Single,4,North,750.0,22,0.07,1.0,3.71,2.85,1,0
9100706,6/1/2020,68.0,Self-Employed,Married,0,South,634.0,167,0.74,3.41,6.87,3.57,3,1
8083610,7/1/2022,,Employed,Single,2,East,895.0,1,0.96,0.47,5.72,3.39,2,0
2443717,6/1/2019,37.0,Employed,Widowed,2,West,828.0,0,0.44,2.25,5.43,2.66,2,0
5909047,9/1/2022,69.0,Unemployed,Single,3,West,881.0,113,0.88,1.12,4.46,3.15,3,1
2910705,2/1/2021,21.0,Self-Employed,Single,1,South,394.0,123,0.84,0.68,8.32,1.93,3,1
7312379,5/1/2020,37.0,,Widowed,1,East,490.0,111,,2.45,4.81,2.21,3,1
5753292,6/1/2021,50.0,Employed,Single,1,West,615.0,126,1.27,3.94,4.58,3.03,3,1
8045927,8/1/2020,,Employed,Widowed,0,East,406.0,102,1.34,1.65,5.46,2.9,3,1
6851244,4/1/2018,65.0,Employed,Married,2,North,818.0,116,1.17,3.16,3.23,2.99,3,1
5259622,5/1/2019,59.0,,Widowed,0,South,822.0,0,0.86,1.92,6.88,2.85,2,0
5055957,5/1/2020,,Employed,Single,1,North,,109,,2.14,3.74,2.19,3,1
4685501,5/1/2022,56.0,,Divorced,1,North,867.0,1,1.21,2.83,3.97,2.77,2,0
4128411,3/1/2022,55.0,Self-Employed,Married,2,West,758.0,105,1.44,2.1,4.3,3.4,3,1
7500785,5/1/2018,65.0,,Married,4,East,482.0,68,0.75,2.62,4.53,3.03,2,0
1898332,12/1/2020,42.0,,Married,2,North,373.0,118,0.26,1.63,2.97,2.95,3,1
4612610,2/1/2020,23.0,Unemployed,Single,4,South,372.0,104,0.2,0.31,5.83,3.03,3,1
3230919,4/1/2019,34.0,Self-Employed,Single,1,North,768.0,109,,2.87,3.84,4.04,3,1
7689142,5/1/2018,,Unemployed,Married,4,West,650.0,7,1.21,2.16,3.64,2.96,2,0
6605126,7/1/2019,33.0,,Single,4,West,670.0,0,0.3,1.04,2.44,3.7,2,0
6289730,3/1/2018,35.0,Employed,Married,0,East,627.0,78,,1.82,7.22,3.15,2,0
9730829,9/1/2021,25.0,Employed,Single,2,South,303.0,117,0.25,1.15,6.21,2.55,3,1
1197775,1/1/2022,68.0,Unemployed,,1,South,834.0,0,0.68,3.32,4.22,2.87,2,0
2707923,10/1/2020,56.0,Employed,Single,1,West,441.0,35,0.49,0.57,5.25,4.12,2,0
2305585,1/1/2019,,,Married,0,South,381.0,0,0.53,0.64,5.45,3.54,2,0
8761850,1/1/2018,36.0,,Divorced,3,West,,108,0.13,1.57,6.88,3.8,3,1
1063014,8/1/2020,26.0,,Single,1,West,603.0,0,1.27,3.22,4.86,3.09,2,0
2847865,11/1/2022,,Employed,Divorced,0,East,588.0,0,0.67,-0.42,6.08,2.43,2,0
5873062,8/1/2021,38.0,Employed,Married,0,North,893.0,73,0.02,1.7,5.44,2.16,2,0
1464071,3/1/2018,25.0,Employed,Married,1,North,570.0,0,0.4,2.67,4.39,3.03,2,0
1545726,3/1/2022,63.0,Employed,Single,1,North,894.0,8,0.56,2.89,4.14,3.57,2,0
3357821,6/1/2022,48.0,Employed,Married,4,East,751.0,73,0.5,2.83,5.62,3.28,2,0
2406368,5/1/2021,55.0,Employed,Single,4,South,623.0,121,1.11,3.45,4.88,3.09,3,1
7689558,10/1/2019,60.0,Unemployed,Married,4,East,,31,0.72,0.39,4.37,2.83,2,0
5933594,6/1/2021,57.0,Employed,Single,2,North,760.0,102,0.88,4.99,4.51,3.49,3,1
2294929,2/1/2021,32.0,Employed,Divorced,0,North,705.0,3,1.42,2.41,4.49,3.21,2,0
8983441,8/1/2022,36.0,Employed,Divorced,3,South,,80,0.93,3.28,4.05,2.63,2,0
8331006,3/1/2021,24.0,,Single,4,West,,98,1.29,1.05,7.5,3.44,3,1
3655971,10/1/2021,50.0,Employed,,4,North,712.0,141,0.28,2.04,4.81,2.82,3,1
5851188,7/1/2018,29.0,Employed,Single,3,South,638.0,9,1.31,2.69,6.16,3.18,2,0
9358827,12/1/2022,57.0,Retired,Single,2,West,865.0,0,0.14,3.63,3.68,2.8,1,0
4896830,12/1/2019,52.0,,Single,2,South,866.0,15,,2.09,7.45,3.04,2,0
3843236,2/1/2020,46.0,Unemployed,Divorced,0,East,812.0,7,0.7,0.61,7.79,2.55,2,0
6587757,3/1/2021,47.0,Unemployed,Single,1,East,559.0,136,0.63,-0.39,5.27,2.54,3,1
6047999,4/1/2021,33.0,Unemployed,,1,West,853.0,0,,1.79,4.99,3.19,1,0
7825687,9/1/2021,54.0,Unemployed,Widowed,0,East,,3,,-0.19,5.88,2.5,1,0
3188370,9/1/2019,66.0,Employed,Married,2,East,351.0,143,,4.18,5.16,3.56,3,1
6122964,4/1/2022,27.0,Unemployed,Married,4,South,587.0,140,,-0.98,3.21,2.81,3,1
2414474,7/1/2019,31.0,Employed,Single,3,West,718.0,0,0.76,1.3,6.5,2.38,2,0
3522620,10/1/2018,24.0,Employed,Single,1,East,350.0,118,0.03,-0.71,7.79,2.1,3,1
2989968,1/1/2020,,Employed,Married,4,East,321.0,115,0.39,2.24,5.66,2.71,3,1
2804673,5/1/2018,42.0,Employed,Single,1,West,569.0,91,1.09,1.3,5.88,3.55,3,1
2614694,6/1/2019,49.0,Employed,Single,2,North,542.0,0,0.86,3.62,2.35,2.48,2,0
4555912,5/1/2022,31.0,Employed,Single,4,East,654.0,115,0.5,3.44,3.38,2.38,3,1
3629137,8/1/2021,60.0,Employed,Divorced,1,East,847.0,45,0.56,2.8,4.61,2.75,2,0
2375645,5/1/2022,40.0,Retired,Married,3,East,557.0,0,0.44,1.82,4.94,2.88,2,0
8985620,3/1/2021,67.0,Employed,Married,1,East,782.0,0,1.48,2.44,6.3,3.06,2,0
8103230,4/1/2018,48.0,Employed,Married,3,East,600.0,0,,2.41,3.33,1.8,2,0
8517750,10/1/2022,50.0,Employed,Divorced,0,East,526.0,60,0.24,3.3,2.74,3.33,2,0
3742455,2/1/2018,53.0,Employed,Married,3,West,,50,0.25,0.32,3.64,2.65,2,0
5297084,4/1/2022,53.0,Employed,Single,4,South,699.0,0,1.2,0.21,5.0,1.71,2,0
5210583,4/1/2020,36.0,Retired,Single,0,East,608.0,27,0.89,3.08,3.83,3.04,2,0
5791882,3/1/2019,,Self-Employed,Married,4,East,566.0,32,0.2,1.54,6.73,3.0,2,0
7015877,3/1/2021,65.0,Employed,,3,North,869.0,0,0.49,2.06,6.89,2.73,1,0
9677828,8/1/2021,50.0,Employed,Married,2,South,629.0,0,0.91,1.61,4.9,3.25,2,0
8683647,2/1/2019,61.0,Employed,Single,4,North,781.0,2,0.02,2.08,5.39,3.11,1,0
3535232,10/1/2019,24.0,Employed,Single,1,South,600.0,106,0.31,2.59,7.18,3.17,3,1
9348022,7/1/2018,,Unemployed,Married,4,North,365.0,117,0.66,1.74,5.4,3.65,3,1
9752967,10/1/2022,62.0,,Single,3,East,401.0,0,,1.72,4.84,3.62,2,0
9471414,9/1/2018,,Employed,Single,4,South,,112,0.79,1.92,3.68,2.44,3,1
8663998,6/1/2019,47.0,Retired,Married,4,North,608.0,140,1.01,2.53,7.28,2.71,3,1
4912669,1/1/2020,43.0,Employed,Married,2,South,,100,1.12,1.91,4.19,2.72,3,1
4860562,6/1/2022,58.0,Employed,Married,0,North,376.0,13,0.17,2.49,5.88,2.89,2,0
5981505,12/1/2019,43.0,Employed,Married,1,South,362.0,40,0.93,1.4,3.58,3.75,2,0
3363162,11/1/2022,45.0,Self-Employed,Married,2,West,,98,0.71,3.49,4.26,2.73,3,1
9343528,4/1/2020,,Unemployed,,2,East,652.0,0,1.14,2.39,3.54,2.58,2,0
3507743,12/1/2019,63.0,Unemployed,,0,East,684.0,0,1.03,2.94,3.9,2.95,2,0
2954109,12/1/2019,35.0,,Single,4,North,664.0,128,1.02,1.89,4.42,2.6,3,1
8061183,2/1/2021,36.0,Employed,Married,0,North,389.0,90,1.47,1.6,7.89,1.93,3,1
2748982,6/1/2022,67.0,Retired,Married,0,South,701.0,0,0.74,3.49,4.36,2.65,2,0
3080154,11/1/2022,53.0,Employed,Divorced,4,East,553.0,1,0.25,2.72,3.46,2.85,2,0
5137270,2/1/2019,49.0,Self-Employed,Married,4,North,,129,1.11,2.6,4.64,2.99,3,1
7409907,1/1/2019,69.0,Unemployed,Single,1,West,528.0,14,0.48,3.52,6.28,2.52,2,0
6698618,5/1/2020,23.0,Self-Employed,Married,0,West,877.0,0,0.73,0.76,6.09,2.54,2,0
8240947,4/1/2018,60.0,Unemployed,Married,2,West,552.0,134,1.17,1.89,4.92,2.91,3,1
9908385,6/1/2018,66.0,Employed,Single,0,North,803.0,1,1.21,3.24,5.03,3.08,2,0
6353966,7/1/2021,,Self-Employed,Single,3,South,412.0,169,0.86,-0.39,4.22,3.86,3,1
8319764,3/1/2021,41.0,Employed,Divorced,3,West,832.0,18,,1.63,1.8,3.03,2,0
7982252,12/1/2021,57.0,Unemployed,Single,3,West,560.0,44,0.57,1.84,4.27,3.92,2,0
4898606,6/1/2022,49.0,Employed,,0,North,531.0,143,1.32,1.08,6.9,3.13,3,1
1421280,6/1/2021,55.0,Unemployed,Married,1,East,706.0,127,0.96,1.4,5.64,3.62,3,1
3707184,7/1/2021,40.0,,Married,3,East,862.0,1,0.44,3.04,3.4,2.96,1,0
1533636,8/1/2022,25.0,,Single,3,East,491.0,91,1.29,0.82,5.09,2.99,3,1
6962859,12/1/2021,61.0,Self-Employed,Single,0,West,516.0,36,1.23,4.01,3.03,2.61,2,0
2845964,2/1/2022,27.0,Employed,Divorced,1,North,597.0,2,0.37,1.72,6.64,3.26,2,0
6646895,7/1/2018,,Employed,Single,0,South,454.0,48,0.35,2.2,5.39,3.53,2,0
9503902,7/1/2018,32.0,Employed,Single,0,North,827.0,46,1.36,0.34,5.31,2.84,2,0
8334901,9/1/2021,,Self-Employed,Single,1,North,,90,1.47,1.26,4.78,3.69,3,1
2347203,6/1/2021,34.0,Employed,Single,3,West,834.0,115,0.88,0.16,5.61,3.13,3,1
8563493,11/1/2018,21.0,Employed,Married,0,West,899.0,2,0.08,1.31,2.91,2.73,1,0
3801742,3/1/2021,60.0,Employed,Married,0,East,300.0,114,0.2,1.4,6.16,2.8,3,1
7167294,9/1/2018,21.0,Employed,Single,3,North,744.0,154,1.0,0.37,4.8,3.38,3,1
6305431,8/1/2021,35.0,Retired,Single,4,North,772.0,116,0.45,1.17,5.68,2.66,3,1
8503276,1/1/2019,60.0,Employed,Married,1,East,860.0,16,0.7,2.22,6.73,3.34,2,0
2433284,11/1/2018,50.0,Employed,,4,South,530.0,5,0.93,2.43,5.6,2.87,2,0
7654754,2/1/2022,38.0,Employed,Single,3,South,424.0,36,0.85,3.04,3.17,2.5,2,0
3114792,10/1/2018,32.0,Employed,Married,4,South,685.0,1,0.1,4.01,4.8,3.8,1,0
6008341,4/1/2022,44.0,,Single,4,South,852.0,1,0.45,2.01,2.12,3.09,2,0
8479821,3/1/2021,59.0,Employed,Married,3,South,863.0,0,0.17,3.16,4.55,3.45,1,0
9749917,10/1/2022,56.0,Employed,Married,1,East,808.0,115,,4.39,5.93,3.16,3,1
3854119,12/1/2020,48.0,Employed,,2,North,,128,0.13,-0.63,5.44,3.44,3,1
7766174,4/1/2022,63.0,Employed,Married,0,East,,0,0.42,2.31,6.1,3.27,2,0
5877708,1/1/2022,23.0,Employed,Widowed,1,South,517.0,6,,0.26,4.28,2.66,2,0
2564718,2/1/2022,65.0,Employed,Divorced,2,East,,141,1.17,3.27,7.34,2.15,3,1
8705092,1/1/2019,31.0,Retired,,2,West,762.0,2,,3.03,5.99,2.33,2,0
3263429,8/1/2020,37.0,Employed,Single,4,East,457.0,0,0.45,1.82,5.51,3.19,2,0
9558542,9/1/2018,67.0,Employed,Married,1,West,,0,1.1,1.64,5.37,3.63,2,0
5102553,5/1/2018,,Employed,Married,3,East,,117,1.3,1.6,8.64,3.7,3,1
8199107,11/1/2022,34.0,Employed,Married,0,North,383.0,2,0.08,3.14,5.32,3.56,2,0
7881289,3/1/2021,31.0,Employed,Single,3,South,844.0,1,0.52,1.98,6.53,3.19,1,0
3332214,2/1/2018,58.0,Unemployed,Single,3,North,320.0,139,0.12,0.1,4.65,3.17,3,1
2770403,8/1/2021,47.0,Self-Employed,Married,0,South,327.0,119,1.48,1.52,4.53,2.85,3,1
1737090,3/1/2019,42.0,Employed,Single,4,East,523.0,111,0.95,2.35,8.4,2.96,3,1
1206487,11/1/2018,32.0,,,3,East,460.0,1,0.05,1.13,3.44,3.01,2,0
4456653,11/1/2018,67.0,Employed,Single,2,West,379.0,5,1.01,1.94,6.4,2.95,2,0
6210307,1/1/2022,55.0,Employed,Single,0,West,,0,0.06,2.92,3.38,2.79,1,0
2572138,5/1/2021,26.0,Employed,Single,3,East,669.0,0,0.4,2.27,4.19,3.2,1,0
8487345,12/1/2021,37.0,Self-Employed,Widowed,0,East,667.0,106,0.13,1.04,6.77,3.41,3,1
5896799,6/1/2020,,Employed,Divorced,4,West,629.0,122,0.99,1.4,4.42,2.17,3,1
2732465,4/1/2019,60.0,Employed,Single,2,West,368.0,0,,2.0,6.33,3.23,2,0
6044080,3/1/2020,57.0,Employed,Married,1,South,451.0,126,0.1,2.99,6.68,2.91,3,1
4372455,5/1/2018,36.0,Unemployed,Single,4,East,505.0,141,0.28,2.29,6.12,2.97,3,1
9878023,11/1/2021,38.0,Employed,Single,0,North,409.0,0,0.04,1.51,7.09,2.71,2,0
3562605,2/1/2018,28.0,Unemployed,Married,2,West,551.0,66,,2.0,3.24,2.53,2,0
8581002,3/1/2021,58.0,Employed,Married,2,North,891.0,0,0.95,1.38,5.51,2.87,2,0
1068148,8/1/2020,36.0,Unemployed,Married,3,South,829.0,81,0.54,2.13,0.67,3.44,2,0
7091111,11/1/2020,68.0,Employed,Single,3,East,,90,1.02,2.33,5.13,3.83,3,1
4138145,5/1/2020,,Employed,Married,3,West,371.0,180,1.39,4.08,4.39,2.41,3,1
7428540,3/1/2020,61.0,Employed,Married,3,South,807.0,3,1.4,2.28,3.17,2.03,2,0
5989847,8/1/2019,,Employed,Single,3,North,707.0,118,0.23,3.99,5.2,2.73,3,1
1801125,2/1/2022,42.0,Employed,Single,2,West,785.0,112,0.38,2.93,5.49,3.01,3,1
6650352,5/1/2022,54.0,Employed,,2,South,,43,0.9,0.71,1.06,3.22,2,0
2912584,6/1/2021,35.0,Employed,Married,4,West,375.0,81,0.25,2.56,5.24,2.76,2,0
8466511,5/1/2022,30.0,Unemployed,Single,3,West,406.0,90,1.49,2.67,6.15,2.84,3,1
6083801,10/1/2021,41.0,Retired,Single,1,North,623.0,0,0.65,2.8,5.26,3.05,2,0
9168326,3/1/2020,,Employed,Single,0,West,471.0,10,0.24,1.16,5.21,2.47,2,0
5353127,2/1/2022,,Unemployed,Divorced,2,North,686.0,30,,3.62,3.98,3.3,2,0
4757985,2/1/2021,51.0,Unemployed,Divorced,4,East,487.0,103,1.32,0.66,4.25,3.09,3,1
6606594,9/1/2022,,Retired,Single,3,South,764.0,55,1.11,0.79,5.04,3.65,2,0
2490017,1/1/2019,32.0,Employed,Single,2,East,856.0,28,1.23,3.81,2.93,2.38,2,0
2622572,9/1/2018,42.0,Employed,Single,3,West,746.0,120,1.12,1.78,5.23,2.39,3,1
3153548,2/1/2020,49.0,Employed,Married,4,South,538.0,145,0.25,0.49,3.64,3.0,3,1
1791971,6/1/2019,31.0,Employed,Married,1,North,621.0,104,1.19,2.27,2.4,3.37,3,1
1059778,5/1/2021,23.0,Employed,,3,South,643.0,70,1.01,2.35,5.49,3.14,2,0
9519792,11/1/2020,39.0,Retired,Single,0,South,599.0,15,0.77,2.41,5.8,3.06,2,0
3966422,6/1/2019,64.0,Self-Employed,Married,4,West,443.0,125,,1.75,4.25,3.48,3,1
9547900,3/1/2019,56.0,Employed,Single,4,West,408.0,0,,1.68,5.69,3.04,2,0
4278262,11/1/2018,41.0,Employed,Widowed,1,West,474.0,119,1.14,1.61,4.2,3.09,3,1
6511174,2/1/2019,,Employed,Married,4,North,439.0,120,0.58,1.31,3.79,3.41,3,1
9639483,11/1/2022,32.0,Employed,,2,North,854.0,21,0.11,2.07,3.01,3.19,1,0
3959470,9/1/2018,30.0,Retired,Married,1,North,659.0,0,0.91,2.27,3.52,3.43,2,0
4503548,2/1/2021,23.0,Employed,,1,West,351.0,119,1.08,2.52,4.86,2.91,3,1
3710626,4/1/2020,57.0,Employed,Single,2,East,816.0,133,1.29,-0.06,2.59,3.65,3,1
5217733,5/1/2020,61.0,Unemployed,Single,3,East,663.0,138,0.17,2.61,6.03,2.8,3,1
7208714,1/1/2019,67.0,Employed,,2,East,611.0,29,1.01,-0.04,5.83,2.47,2,0
9715633,6/1/2020,32.0,Employed,Married,3,South,,130,1.07,0.22,5.31,2.56,3,1
3615804,8/1/2018,,Employed,Single,1,East,848.0,40,0.15,3.43,4.52,2.56,2,0
3007878,10/1/2018,48.0,Employed,Single,3,East,863.0,82,,2.18,4.72,3.41,2,0
9478748,10/1/2021,39.0,Unemployed,Single,4,North,563.0,41,0.06,0.7,2.89,2.34,2,0
2383640,7/1/2018,56.0,,Single,4,East,,0,,1.83,4.56,2.61,2,0
6613201,2/1/2020,,Retired,Divorced,1,South,820.0,18,0.36,0.46,4.28,2.79,1,0
5214279,11/1/2020,55.0,Employed,Divorced,4,East,751.0,1,0.07,2.55,4.41,2.54,1,0
2960155,2/1/2020,,Retired,Married,3,South,378.0,100,1.44,1.78,4.85,2.73,3,1
8374592,2/1/2018,52.0,Employed,Single,1,West,663.0,104,1.37,0.72,3.99,3.33,3,1
2514101,6/1/2020,39.0,Employed,Single,4,South,889.0,5,1.06,0.66,2.57,3.34,2,0
5113640,7/1/2020,52.0,Employed,Married,3,East,550.0,134,0.11,1.48,3.89,3.69,3,1
1531831,5/1/2019,69.0,Unemployed,Single,0,East,573.0,1,0.95,1.16,6.23,3.06,2,0
1550222,8/1/2019,55.0,,Married,0,North,533.0,131,1.43,2.23,3.49,2.48,3,1
1721384,10/1/2021,59.0,Employed,Married,3,West,813.0,50,1.11,0.23,7.73,2.61,2,0
5991536,5/1/2018,31.0,Employed,Single,4,East,696.0,0,0.18,1.31,5.83,2.19,2,0
8370683,9/1/2018,68.0,Employed,Married,3,South,807.0,83,0.88,-0.25,5.76,3.3,2,0
9622587,2/1/2020,30.0,Self-Employed,Single,1,West,744.0,0,0.19,1.08,4.53,2.88,1,0
8537165,4/1/2018,57.0,Unemployed,Widowed,4,West,372.0,90,0.78,0.92,5.21,2.94,3,1
6037285,2/1/2020,58.0,Employed,Single,2,West,835.0,0,1.28,2.9,6.4,2.9,2,0
2353324,1/1/2021,49.0,Employed,Married,1,South,,7,0.06,2.15,2.02,2.93,1,0
7607912,6/1/2019,66.0,Employed,Single,3,West,655.0,90,1.47,1.77,3.76,2.6,3,1
8133131,4/1/2020,63.0,Employed,Married,4,South,899.0,103,1.18,0.84,2.3,3.02,3,1
